awards,,,,,,,,,,,,,,,,,,,
アクション名,アクションタイプ,類似業績マージ優先度,ID,賞名(日本語),賞名(英語),受賞者・グループ(日本語),受賞者・グループ(英語),タイトル(日本語),タイトル(英語),授与機関(日本語),授与機関(英語),概要(日本語),概要(英語),受賞年月,受賞区分,受賞国・地域,URL,主要な業績かどうか,公開の有無
insert,similar_merge,input_data,,工学系研究科長賞（研究）,工学系研究科長賞（研究）,大西亘,Wataru Ohnishi,,,東京大学大学院工学系研究科,東京大学大学院工学系研究科,,,20180322,others,JPN,,TRUE,disclosed
insert,similar_merge,input_data,,研究開発奨励賞　選考委員会特別賞,"NF Foundation R&D Encouragement Award with High Appreciation, 2018",大西亘,Wataru Ohnishi,,,一般財団法人　エヌエフ基金,NF Foundation,,,20181116,publisher,JPN,,TRUE,disclosed
insert,similar_merge,input_data,,産業応用部門論文賞,IEEJ Industry Applications Society Distinguished Transaction Paper Award,大西亘,Wataru Ohnishi,,,電気学会産業応用部門,IEEJ Industry Applications Society,,,20200825,official_journal,JPN,,TRUE,disclosed
insert,similar_merge,input_data,,開閉保護研究発表賞,開閉保護研究発表賞,大西亘,Wataru Ohnishi,,,電気学会開閉保護技術委員会,電気学会開閉保護技術委員会,,,20220124,japan_society,JPN,,TRUE,disclosed
